Rank,Fund,Category,Quality,Risk,RiskBand,Recommended,Expected Holding Period,Why
1,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund),ELSS,100,39,Balanced,Yes,3-5 years,[+] Favourable AUM / capacity | [+] Supported by a management team
2,Shriram ELSS Tax Saver Fund,ELSS,98,55,Balanced,Yes,3-5 years,[+] Favourable AUM / capacity | [+] Supported by a management team
3,Samco Flexi Cap Fund,Flexi Cap Fund,100,82,Aggressive,Yes,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
4,Sundaram Flexicap Fund,Flexi Cap Fund,97,21,Conservative,Yes,5+ years,[+] Supported by a management team | [+] Favourable AUM / capacity
5,WhiteOak Capital Large Cap Fund,Large Cap Fund,100,20,Conservative,Yes,5+ years,[+] Supported by a management team | [+] Favourable AUM / capacity
6,JM Midcap Fund,Mid Cap Fund,100,60,Balanced,Yes,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
7,PGIM India Small Cap Fund,Small Cap Fund,100,48,Balanced,Yes,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
8,Mahindra Manulife Large Cap Fund,Large Cap Fund,97,22,Conservative,Yes,5+ years,[+] Favourable AUM / capacity | [+] Stable risk profile
9,BANDHAN MIDCAP FUND,Mid Cap Fund,96,57,Balanced,Yes,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
10,Mahindra Manulife Small Cap Fund,Small Cap Fund,96,73,Aggressive,Yes,1-3 years,[+] Supported by a management team | [-] Expensive TER
11,Groww Value Fund (formerly known as Indiabulls Value Fund),Value Fund,100,26,Conservative,No,5+ years,[+] Favourable AUM / capacity | [+] Supported by a management team
12,ICICI Prudential Exports & Services Fund,Sectoral/ Thematic,100,18,Conservative,No,5+ years,[+] Supported by a management team | [+] Favourable AUM / capacity
13,PGIM India ELSS Tax Saver Fund,ELSS,95,20,Conservative,No,5+ years,[+] Supported by a management team | [+] Favourable AUM / capacity
14,Quantum ELSS Tax Saver Fund,ELSS,92,12,Conservative,No,5+ years,[+] Supported by a management team | [+] Favourable AUM / capacity
