Rank,Fund,Category,Quality,Risk,RiskBand,Recommended,Expected Holding Period,Why
1,JM Large Cap Fund,Large Cap Fund,100,0,Conservative,Yes,5+ years,[+] Supported by a management team | [+] Favourable AUM / capacity
2,Aditya Birla Sun Life Midcap Fund,Mid Cap Fund,100,54,Balanced,Yes,3-5 years,[+] Stable risk profile | [+] Strong long-term consistency
3,HDFC Mid Cap Fund,Mid Cap Fund,95,50,Balanced,Yes,3-5 years,[+] Stable risk profile | [+] Strong long-term consistency
4,JM ELSS Tax Saver Fund,ELSS,100,42,Balanced,Yes,3-5 years,[+] Supported by a management team | [-] Relatively inexperienced manager
5,Franklin India Small Cap Fund,Small Cap Fund,100,66,Aggressive,Yes,1-3 years,[+] Stable risk profile | [-] Fund size acting as a drag
6,JM Flexicap Fund,Flexi Cap Fund,100,33,Balanced,Yes,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
7,Aditya Birla Sun Life Small Cap Fund,Small Cap Fund,95,74,Aggressive,Yes,1-3 years,[+] Stable risk profile | [+] Strong long-term consistency
8,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund),ELSS,97,29,Conservative,Yes,5+ years,[+] Favourable AUM / capacity | [+] Supported by a management team
9,HDFC Flexi Cap Fund,Flexi Cap Fund,96,53,Balanced,Yes,3-5 years,[+] Stable risk profile | [-] Expensive TER
10,Union Largecap Fund,Large Cap Fund,96,35,Balanced,Yes,3-5 years,[+] Favourable AUM / capacity | [-] Elevated trailing volatility
11,JM Value Fund,Value Fund,100,46,Balanced,No,3-5 years,[+] Stable risk profile | [+] Supported by a management team
12,Sundaram Infrastructure Advantage Fund,Sectoral/ Thematic,100,63,Aggressive,No,1-3 years,[+] Stable risk profile | [+] Cost efficient structure
13,JM Focused Fund,Focused Fund,100,47,Balanced,No,3-5 years,[+] Stable risk profile | [+] Supported by a management team
14,Nippon India Vision Large & Mid Cap Fund,Large & Mid Cap Fund,100,43,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
15,LIC MF Infrastructure Fund,Sectoral/ Thematic,99,54,Balanced,No,3-5 years,[+] Stable risk profile | [+] Favourable AUM / capacity
16,Groww Value Fund (formerly known as Indiabulls Value Fund),Value Fund,92,33,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [+] Supported by a management team
17,Aditya Birla Sun Life PSU Equity Fund,Sectoral/ Thematic,98,37,Balanced,No,3-5 years,[+] Stable risk profile | [+] Supported by a management team
18,Baroda BNP Paribas Banking and Financial Services Fund,Sectoral/ Thematic,97,77,Aggressive,No,1-3 years,[+] Favourable AUM / capacity | [+] Strong long-term consistency
19,SBI PSU Fund,Sectoral/ Thematic,95,41,Balanced,No,3-5 years,[+] Stable risk profile | [+] Strong long-term consistency
