Category,CategoryRank,Fund,Tier,Quality,Risk,RiskBand,Expected Holding Period,StrategyPick,Why
Contra Fund,1,SBI CONTRA FUND,1. Top Tier,100,25,Conservative,5+ years,No,[-] Fund size acting as a drag | [+] Cost efficient structure
Contra Fund,2,Invesco India Contra Fund,2. Above Average,67,36,Balanced,3-5 years,No,[+] Strong past momentum | [-] Solo management risk
Contra Fund,3,Kotak Contra Fund,4. Below Average,33,36,Balanced,3-5 years,No,[-] Lagging past returns | [+] Stable risk profile
Dividend Yield Fund,1,Franklin India Dividend Yield Fund,1. Top Tier,100,25,Conservative,5+ years,No,[+] Supported by a management team | [-] Elevated trailing volatility
Dividend Yield Fund,2,Tata Dividend Yield Fund,1. Top Tier,88,44,Balanced,3-5 years,No,[+] Supported by a management team | [+] Strong past momentum
Dividend Yield Fund,3,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund),2. Above Average,75,35,Balanced,3-5 years,No,[+] Stable risk profile | [+] Favourable AUM / capacity
Dividend Yield Fund,4,SBI Dividend Yield Fund,2. Above Average,62,28,Conservative,5+ years,No,[-] Fund size acting as a drag | [+] Strong past momentum
Dividend Yield Fund,5,UTI Dividend Yield Fund.,3. Average,50,35,Balanced,3-5 years,No,[+] Stable risk profile | [-] Lagging past returns
Dividend Yield Fund,6,HDFC Dividend Yield Fund,4. Below Average,38,40,Balanced,3-5 years,No,[-] Fund size acting as a drag | [+] Stable risk profile
Dividend Yield Fund,7,Aditya Birla Sun Life Dividend Yield Fund,4. Below Average,25,44,Balanced,3-5 years,No,[-] Elevated trailing volatility | [-] Lagging past returns
Dividend Yield Fund,8,ICICI Prudential Dividend Yield Equity Fund,5. Bottom Tier,12,24,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Lagging past returns
ELSS,1,Nippon India ELSS Tax Saver Fund,1. Top Tier,100,38,Balanced,3-5 years,No,[+] Supported by a management team | [+] Cost efficient structure
ELSS,2,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund),1. Top Tier,98,39,Balanced,3-5 years,Yes,[+] Favourable AUM / capacity | [-] Solo management risk
ELSS,3,PGIM India ELSS Tax Saver Fund,1. Top Tier,95,20,Conservative,5+ years,No,[+] Supported by a management team | [+] Strong past momentum
ELSS,4,Shriram ELSS Tax Saver Fund,1. Top Tier,92,55,Balanced,3-5 years,Yes,[+] Strong past momentum | [+] Strong long-term consistency
ELSS,5,Samco ELSS Tax Saver Fund,1. Top Tier,90,77,Aggressive,1-3 years,No,[-] Elevated trailing volatility | [+] Supported by a management team
ELSS,6,Navi ELSS Tax Saver Fund,1. Top Tier,88,33,Balanced,3-5 years,No,[+] Stable risk profile | [+] Favourable AUM / capacity
ELSS,7,UTI ELSS Tax Saver Fund,1. Top Tier,85,34,Balanced,3-5 years,No,[+] Strong past momentum | [+] Stable risk profile
ELSS,8,Taurus ELSS Tax Saver Fund,1. Top Tier,82,15,Conservative,5+ years,No,[+] Excellent downside protection | [+] Cost efficient structure
ELSS,9,Tata ELSS Fund,1. Top Tier,80,35,Balanced,3-5 years,No,[+] Stable risk profile | [+] Strong long-term consistency
ELSS,10,NJ ELSS Tax Saver Scheme,2. Above Average,78,56,Balanced,3-5 years,No,[+] Strong past momentum | [+] Favourable AUM / capacity
ELSS,11,Invesco India ELSS Tax Saver Fund,2. Above Average,75,39,Balanced,3-5 years,No,[+] Stable risk profile | [+] Veteran manager with exceptional tenure
ELSS,12,BANK OF INDIA ELSS Tax Saver,2. Above Average,72,62,Aggressive,1-3 years,No,[+] Stable risk profile | [+] Favourable AUM / capacity
ELSS,13,Edelweiss ELSS Tax Saver Fund,2. Above Average,70,34,Balanced,3-5 years,No,[+] Stable risk profile | [-] Lagging past returns
ELSS,14,Union ELSS Tax Saver Fund,2. Above Average,68,30,Conservative,5+ years,No,[+] Cost efficient structure | [+] Strong long-term consistency
ELSS,15,Quantum ELSS Tax Saver Fund,2. Above Average,65,12,Conservative,5+ years,No,[+] Supported by a management team | [-] Elevated trailing volatility
ELSS,16,HSBC ELSS Tax saver Fund,2. Above Average,62,39,Balanced,3-5 years,No,[+] Stable risk profile | [-] Lagging past returns
ELSS,17,Axis ELSS Tax Saver Fund,2. Above Average,60,28,Conservative,5+ years,No,[-] Fund size acting as a drag | [+] Veteran manager with exceptional tenure
ELSS,18,quant ELSS Tax Saver Fund,3. Average,57,66,Aggressive,1-3 years,No,[+] Supported by a management team | [-] Relatively inexperienced manager
ELSS,19,Kotak ELSS Tax Saver Fund,3. Average,55,36,Balanced,3-5 years,No,[+] Stable risk profile | [+] Strong long-term consistency
ELSS,20,HSBC Tax Saver Equity Fund,3. Average,52,37,Balanced,3-5 years,No,[+] Stable risk profile | [-] Lagging past returns
ELSS,21,Aditya Birla Sun Life ELSS Tax Saver Fund,3. Average,50,32,Balanced,3-5 years,No,[-] Fund size acting as a drag | [+] Strong past momentum
ELSS,22,JM ELSS Tax Saver Fund,3. Average,48,45,Balanced,3-5 years,No,[-] Lagging past returns | [+] Stable risk profile
ELSS,23,360 ONE ELSS Tax Saver Nifty 50 Index Fund,3. Average,45,19,Conservative,5+ years,No,[-] Elevated trailing volatility | [+] Strong past momentum
ELSS,24,CANARA ROBECO ELSS TAX SAVER,3. Average,42,31,Balanced,3-5 years,No,[+] Strong long-term consistency | [-] Relatively inexperienced manager
ELSS,25,LIC MF ELSS Tax Saver,3. Average,40,25,Conservative,5+ years,No,[-] Inconsistent hit rate | [+] Strong past momentum
ELSS,26,Motilal Oswal ELSS Tax Saver Fund,4. Below Average,38,79,Aggressive,1-3 years,No,[-] Lagging past returns | [+] Supported by a management team
ELSS,27,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND,4. Below Average,35,19,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Solo management risk
ELSS,28,BANDHAN ELSS Tax Saver Fund,4. Below Average,32,25,Conservative,5+ years,No,[-] Elevated trailing volatility | [+] Supported by a management team
ELSS,29,Sundaram ELSS Tax Saver Fund,4. Below Average,30,21,Conservative,5+ years,No,[-] Elevated trailing volatility | [+] Cost efficient structure
ELSS,30,Parag Parikh ELSS Tax Saver Fund,4. Below Average,28,0,Conservative,5+ years,No,[-] Elevated trailing volatility | [+] Supported by a management team
ELSS,31,ITI ELSS Tax Saver Fund,4. Below Average,25,55,Balanced,3-5 years,No,[-] Lagging past returns | [-] Inconsistent hit rate
ELSS,32,WhiteOak Capital ELSS Tax Saver Fund,4. Below Average,22,23,Conservative,5+ years,No,[-] Lagging past returns | [+] Supported by a management team
ELSS,33,BARODA BNP PARIBAS ELSS Tax Saver Fund,4. Below Average,20,33,Balanced,3-5 years,No,[-] Lagging past returns | [+] Stable risk profile
ELSS,34,ICICI Prudential ELSS Tax Saver Fund,5. Bottom Tier,18,26,Conservative,5+ years,No,[-] Fund size acting as a drag | [+] Cost efficient structure
ELSS,35,Mahindra Manulife ELSS Tax Saver Fund,5. Bottom Tier,15,25,Conservative,5+ years,No,[-] Expensive TER | [-] Inconsistent hit rate
ELSS,36,Franklin India ELSS Tax Saver Fund,5. Bottom Tier,12,27,Conservative,5+ years,No,[-] Lagging past returns | [+] Cost efficient structure
ELSS,37,SBI ELSS Tax Saver FUND,5. Bottom Tier,10,28,Conservative,5+ years,No,[-] Fund size acting as a drag | [-] Lagging past returns
ELSS,38,DSP ELSS Tax Saver Fund,5. Bottom Tier,8,30,Conservative,5+ years,No,[-] Fund size acting as a drag | [+] Stable risk profile
ELSS,39,Mirae Asset ELSS Tax Saver Fund,5. Bottom Tier,5,29,Conservative,5+ years,No,[-] Fund size acting as a drag | [-] Relatively inexperienced manager
ELSS,40,HDFC ELSS Tax saver,5. Bottom Tier,2,14,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Lagging past returns
Flexi Cap Fund,1,Samco Flexi Cap Fund,1. Top Tier,100,82,Aggressive,1-3 years,Yes,[+] Cost efficient structure | [+] Strong long-term consistency
Flexi Cap Fund,2,BANDHAN Flexi Cap Fund,1. Top Tier,97,24,Conservative,5+ years,No,[+] Supported by a management team | [+] Strong long-term consistency
Flexi Cap Fund,3,Shriram Flexi Cap Fund,1. Top Tier,94,55,Balanced,3-5 years,No,[+] Favourable AUM / capacity | [+] Strong past momentum
Flexi Cap Fund,4,Baroda BNP Paribas Flexi Cap Fund,1. Top Tier,91,41,Balanced,3-5 years,No,[+] Cost efficient structure | [+] Stable risk profile
Flexi Cap Fund,5,UTI Flexi Cap Fund,1. Top Tier,88,23,Conservative,5+ years,No,[+] Cost efficient structure | [-] Fund size acting as a drag
Flexi Cap Fund,6,Taurus Flexi Cap Fund,1. Top Tier,85,38,Balanced,3-5 years,No,[+] Stable risk profile | [+] Cost efficient structure
Flexi Cap Fund,7,LIC MF Flexi Cap Fund,1. Top Tier,82,49,Balanced,3-5 years,No,[+] Stable risk profile | [+] Cost efficient structure
Flexi Cap Fund,8,DSP Flexi Cap Fund,2. Above Average,79,33,Balanced,3-5 years,No,[+] Stable risk profile | [+] Strong past momentum
Flexi Cap Fund,9,quant Flexi Cap Fund,2. Above Average,76,65,Aggressive,1-3 years,No,[+] Supported by a management team | [+] Excellent downside protection
Flexi Cap Fund,10,Mirae Asset Flexi Cap Fund,2. Above Average,74,25,Conservative,5+ years,No,[+] Strong long-term consistency | [+] Veteran manager with exceptional tenure
Flexi Cap Fund,11,Nippon India Flexi Cap Fund,2. Above Average,71,36,Balanced,3-5 years,No,[+] Stable risk profile | [+] Veteran manager with exceptional tenure
Flexi Cap Fund,12,Axis Flexi Cap Fund,2. Above Average,68,35,Balanced,3-5 years,No,[+] Stable risk profile | [+] Veteran manager with exceptional tenure
Flexi Cap Fund,13,Navi Flexi Cap Fund,2. Above Average,65,36,Balanced,3-5 years,No,[-] Solo management risk | [+] Stable risk profile
Flexi Cap Fund,14,HSBC Flexi Cap Fund,2. Above Average,62,43,Balanced,3-5 years,No,[-] Lagging past returns | [+] Stable risk profile
Flexi Cap Fund,15,Union Flexi Cap Fund,3. Average,59,29,Conservative,5+ years,No,[+] Cost efficient structure | [-] Severe historical drawdown
Flexi Cap Fund,16,Aditya Birla Sun Life Flexi Cap Fund,3. Average,56,29,Conservative,5+ years,No,[-] Fund size acting as a drag | [+] Cost efficient structure
Flexi Cap Fund,17,PGIM India Flexi Cap Fund,3. Average,53,27,Conservative,5+ years,No,[+] Supported by a management team | [+] Strong past momentum
Flexi Cap Fund,18,Franklin India Flexi Cap Fund,3. Average,50,26,Conservative,5+ years,No,[-] Inconsistent hit rate | [+] Strong past momentum
Flexi Cap Fund,19,Sundaram Flexicap Fund,3. Average,47,21,Conservative,5+ years,Yes,[-] Elevated trailing volatility | [+] Strong past momentum
Flexi Cap Fund,20,Edelweiss Flexi Cap Fund,3. Average,44,36,Balanced,3-5 years,No,[+] Stable risk profile | [-] Lagging past returns
Flexi Cap Fund,21,WhiteOak Capital Flexi Cap Fund,3. Average,41,25,Conservative,5+ years,No,[+] Supported by a management team | [-] Lagging past returns
Flexi Cap Fund,22,Kotak Flexicap Fund,4. Below Average,38,27,Conservative,5+ years,No,[-] Fund size acting as a drag | [+] Stable risk profile
Flexi Cap Fund,23,JM Flexicap Fund,4. Below Average,35,48,Balanced,3-5 years,No,[+] Supported by a management team | [-] Lagging past returns
Flexi Cap Fund,24,CANARA ROBECO FLEXICAP FUND,4. Below Average,32,27,Conservative,5+ years,No,[-] Solo management risk | [-] Elevated trailing volatility
Flexi Cap Fund,25,Mahindra Manulife Flexi Cap Fund,4. Below Average,29,27,Conservative,5+ years,No,[-] Elevated trailing volatility | [+] Favourable AUM / capacity
Flexi Cap Fund,26,Motilal Oswal Flexi cap Fund,4. Below Average,26,46,Balanced,3-5 years,No,[-] Lagging past returns | [-] Solo management risk
Flexi Cap Fund,27,ITI Flexi Cap Fund,4. Below Average,24,50,Balanced,3-5 years,No,[-] Lagging past returns | [-] Expensive TER
Flexi Cap Fund,28,Tata Flexi Cap Fund,4. Below Average,21,17,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Solo management risk
Flexi Cap Fund,29,ICICI Prudential Flexicap Fund,5. Bottom Tier,18,35,Balanced,3-5 years,No,[-] Lagging past returns | [-] Inconsistent hit rate
Flexi Cap Fund,30,Invesco India Flexi Cap Fund,5. Bottom Tier,15,38,Balanced,3-5 years,No,[-] Lagging past returns | [+] Stable risk profile
Flexi Cap Fund,31,SBI Flexicap Fund,5. Bottom Tier,12,21,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Fund size acting as a drag
Flexi Cap Fund,32,BANK OF INDIA Flexi Cap Fund,5. Bottom Tier,9,63,Aggressive,1-3 years,No,[-] Lagging past returns | [-] Elevated trailing volatility
Flexi Cap Fund,33,HDFC Flexi Cap Fund,5. Bottom Tier,6,7,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Fund size acting as a drag
Flexi Cap Fund,34,Parag Parikh Flexi Cap Fund,5. Bottom Tier,3,0,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Fund size acting as a drag
Focused Fund,1,Axis Focused Fund,1. Top Tier,100,34,Balanced,3-5 years,No,[+] Cost efficient structure | [+] Strong past momentum
Focused Fund,2,JM Focused Fund,1. Top Tier,96,40,Balanced,3-5 years,No,[+] Favourable AUM / capacity | [+] Supported by a management team
Focused Fund,3,HSBC Focused Fund,1. Top Tier,92,41,Balanced,3-5 years,No,[+] Cost efficient structure | [+] Supported by a management team
Focused Fund,4,Union Focused Fund,1. Top Tier,88,27,Conservative,5+ years,No,[+] Strong long-term consistency | [+] Cost efficient structure
Focused Fund,5,Motilal Oswal Focused Fund,1. Top Tier,85,84,Aggressive,1-3 years,No,[-] Elevated trailing volatility | [+] Supported by a management team
Focused Fund,6,DSP Focused Fund,1. Top Tier,81,30,Conservative,5+ years,No,[+] Stable risk profile | [-] Lagging past returns
Focused Fund,7,Edelweiss Focused Fund,2. Above Average,77,29,Conservative,5+ years,No,[+] Stable risk profile | [+] Supported by a management team
Focused Fund,8,Kotak Focused Fund,2. Above Average,73,28,Conservative,5+ years,No,[+] Favourable AUM / capacity | [+] Strong past momentum
Focused Fund,9,Bandhan Focused Fund,2. Above Average,69,33,Balanced,3-5 years,No,[+] Supported by a management team | [-] Lagging past returns
Focused Fund,10,Franklin India Focused Equity Fund,2. Above Average,65,25,Conservative,5+ years,No,[+] Cost efficient structure | [-] Fund size acting as a drag
Focused Fund,11,ITI Focused Fund,2. Above Average,62,39,Balanced,3-5 years,No,[+] Stable risk profile | [+] Favourable AUM / capacity
Focused Fund,12,Tata Focused Fund,3. Average,58,30,Conservative,5+ years,No,[-] Solo management risk | [+] Strong past momentum
Focused Fund,13,Aditya Birla Sun Life Focused Fund,3. Average,54,24,Conservative,5+ years,No,[+] Cost efficient structure | [+] Strong past momentum
Focused Fund,14,UTI Focused Fund,3. Average,50,35,Balanced,3-5 years,No,[+] Stable risk profile | [-] Inconsistent hit rate
Focused Fund,15,quant Focused Fund,3. Average,46,54,Balanced,3-5 years,No,[+] Supported by a management team | [-] Expensive TER
Focused Fund,16,Nippon India Focused Fund,3. Average,42,27,Conservative,5+ years,No,[-] Severe historical drawdown | [+] Strong long-term consistency
Focused Fund,17,BARODA BNP PARIBAS Focused Fund,4. Below Average,38,51,Balanced,3-5 years,No,[+] Favourable AUM / capacity | [-] Relatively inexperienced manager
Focused Fund,18,Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund),4. Below Average,35,19,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Solo management risk
Focused Fund,19,360 ONE Focused Fund,4. Below Average,31,26,Conservative,5+ years,No,[+] Strong long-term consistency | [-] Elevated trailing volatility
Focused Fund,20,Mirae Asset Focused Fund,4. Below Average,27,24,Conservative,5+ years,No,[-] Elevated trailing volatility | [+] Strong past momentum
Focused Fund,21,Mahindra Manulife Focused Fund,4. Below Average,23,29,Conservative,5+ years,No,[-] Lagging past returns | [-] Inconsistent hit rate
